_id,precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,estado,precio_arriendo,vigilancia,localidad,is_cerca_estacion_tm,is_cerca_parque
66d86c82ceda690e85508bc6,900000000.0,194.0,3,5,895000,2,CERROS DE SUBA,5,MAS DE 20 ANOS,USADO,4900000.0,1,SUBA,1,0
66d86c83ceda690e85508d8d,245000000.0,54.0,3,2,189400,0,ANTONIO NARINO,3,ENTRE 10 Y 20 ANOS,USADO,850000.0,1,ANTONIO NARINO,0,1
66d86c85ceda690e85508f43,1500000000.0,190.0,3,4,1645000,4,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,7500000.0,1,CHAPINERO,0,1
66d86c85ceda690e85508f9a,1750000000.0,220.0,3,5,,4,COUNTRY,5,ENTRE 10 Y 20 ANOS,USADO,5500000.0,1,USAQUEN,0,0
66d86c86ceda690e85509056,2600000000.0,330.0,4,4,1950000,2,COUNTRY,5,ENTRE 10 Y 20 ANOS,USADO,8000000.0,1,USAQUEN,0,0
66d86c86ceda690e85509070,430000000.0,59.1,2,2,606500,1,SANTA BARBARA,4,ENTRE 10 Y 20 ANOS,USADO,3600000.0,0,USAQUEN,0,0
66d86c87ceda690e85509164,2990000000.0,300.0,3,4,2430000,4,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,17000000.0,1,CHAPINERO,0,0
66d86c88ceda690e85509267,1690000000.0,170.0,2,2,1460000,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,7500000.0,1,CHAPINERO,0,1
66d86c89ceda690e855093bf,520000000.0,107.0,2,2,560000,2,SANTA BARBARA,6,MAS DE 20 ANOS,USADO,3000000.0,1,USAQUEN,0,0
66d86c89ceda690e855093d8,1100000000.0,147.0,3,4,1000000,2,COUNTRY,6,ENTRE 10 Y 20 ANOS,USADO,5800000.0,0,USAQUEN,0,0
66d86c8aceda690e855093f7,450000000.0,71.0,2,2,494000,2,COUNTRY,5,MAS DE 20 ANOS,USADO,1390000.0,1,USAQUEN,0,0
66d86c8aceda690e85509408,2392000000.0,184.0,2,4,900000,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,7000000.0,1,CHAPINERO,1,1
66d86c8bceda690e85509543,1750000000.0,220.0,3,4,,4,COUNTRY,5,ENTRE 10 Y 20 ANOS,USADO,7500000.0,1,USAQUEN,0,0
